 log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7               6.4                9                 7.3977e-05                 93.292                    101                   0                            6024.44                       0
      7.05            6.4                9                 0.000107406               100.797                    127                   0                            6040.95                       0
      7.1             6.4                9                 0.000194168                94.5791                   202                   0                            5937.31                       0
      7.15            6.4                9                 0.000255435                91.8703                   231                   0                            5936.66                       0
      7.2             6.4                9                 0.000395383                98.2597                   311                   0                            6017.86                       0
      7.3             6.4                9                 0.000706298               100.44                     428                   0                            5998.06                       0
      7.5             6.4                9                 0.00214044                110.822                    794                   0                            5982.68                       0
      7.75            6.4                9                 0.00719035                132.564                   1483                   0                            6052.22                       0
      7.8             6.4                9                 0.00909402                138.644                   1678                   0                            6000.08                       0
      8               6.4                9                 0.0196671                 168.803                   2339                   0                            6025.96                       0
      8.2             6.4                9                 0.0389068                 196.676                   3133                   0                            6023.27                       0
      8.3             6.4                9                 0.0549208                 213.218                   3549                   0                            5954.12                       0
      8.5             6.4                9                 0.0996799                 247.889                   4339                   0                            6001.18                       0
      8.75            6.4                9                 0.187684                  285.495                   5158                   0                            6038.81                       0
      8.8             6.4                9                 0.213743                  292.404                   5345                   1.02607e-05                  6024.84                       1
      9               6.4                9                 0.322756                  320.541                   5857                   0.000124264                  6061.67                       3
      9.2             6.4                9                 0.484225                  334.807                   6158                   0.00046522                   5990.71                       8
      9.3             6.4                9                 0.517864                  337.333                   6306                   0.000351414                  5995.29                       7
      9.5             6.4                9                 0.701314                  344.842                   6429                   0.00201197                   6019.43                      20
      9.75            6.4                9                 0.862455                  329.966                   6131                   0.00707101                   5984.93                      30
      9.8             6.4                9                 0.952097                  338.287                   6229                   0.0129936                    5978.12                      43
     10               6.4                9                 0.987608                  321.841                   5978                   0.0174295                    6011.12                      40
     10.2             6.4                9                 1.05673                   311.354                   5700                   0.0315123                    6001.74                      33
     10.3             6.4                9                 1.10773                   304.441                   5567                   0.0494979                    6044.58                      65
     10.5             6.4                9                 1.09557                   289.71                    5353                   0.0429861                    5961.6                       64
     10.75            6.4                9                 1.20983                   280.799                   5107                   0.0585452                    6044.81                      68
     10.8             6.4                9                 1.1347                    272.056                   4921                   0.0639096                    5971.51                      64
     11               6.4                9                 1.24884                   271.35                    4878                   0.0585448                    6050.26                      47
     11.2             6.4                9                 1.20916                   261.665                   4698                   0.0743156                    6007.39                      51
     11.3             6.4                9                 1.22199                   261.144                   4623                   0.0679406                    6005.73                      53
     11.5             6.4                9                 1.11463                   252.269                   4525                   0.0644414                    5988.43                      41
     11.75            6.4                9                 0.93567                   246.696                   4351                   0.0761272                    6014.23                      55
     11.8             6.4                9                 1.02797                   252.312                   4385                   0.0569964                    5972.24                      37
     12               6.4                9                 1.02336                   244.143                   4271                   0.074144                     5967.83                      40

